Generation,Max Distance,Min Distance,Total Distance
447,140,0,1933097
448,140,0,1938015
449,140,0,1942169
450,140,0,1946981
451,140,0,1951159
452,140,0,1955554
453,140,0,1959897
454,140,0,1964129
455,140,0,1968561
456,140,0,1972869
457,140,0,1977190
458,140,0,1981425
459,140,0,1985744
460,140,0,1989887
461,140,0,1994034
462,140,0,1998291
463,140,0,2002819
464,140,0,2007353
465,140,0,2011861
466,140,0,2016434
467,140,0,2020618
468,140,0,2024820
469,140,0,2028829
470,140,0,2032993
471,140,0,2037357
472,140,0,2041573
473,140,0,2045686
474,140,0,2049766
475,140,0,2054009
476,140,0,2058232
477,140,0,2062320
478,140,0,2066985
479,140,0,2071949
480,140,0,2076149
481,140,0,2080829
482,140,0,2085654
483,140,0,2090160
484,140,0,2095049
485,140,0,2099813
486,140,0,2104579
487,140,0,2109377
488,140,0,2114249
489,140,0,2119083
490,140,0,2123709
491,140,0,2128448
492,140,0,2132936
493,140,0,2137501
494,140,0,2142275
495,140,0,2146776
496,140,0,2151490
497,140,0,2156171
498,140,0,2160553
499,140,0,2164801
500,140,0,2168931
501,140,0,2173169
502,140,0,2177419
503,140,0,2181763
504,140,0,2186253
505,140,0,2190788
506,140,0,2195585
507,140,0,2199729
508,140,0,2203909
509,140,0,2207746
510,140,0,2212102
511,140,0,2216553
512,140,0,2221113
513,140,0,2225811
514,140,0,2230261
515,140,0,2234813
516,140,0,2239650
517,140,0,2244029
518,140,0,2248747
519,140,0,2253737
520,140,0,2258003
521,140,0,2262995
522,140,0,2268125
523,140,0,2273497
524,140,0,2279143
525,140,0,2284231
526,140,0,2289084
527,140,0,2293973
528,140,0,2298392
529,140,0,2303142
530,140,0,2307803
531,140,0,2312303
532,140,0,2316905
533,140,0,2321233
534,140,0,2325809
535,140,0,2330372
536,140,0,2334878
537,140,0,2339529
538,140,0,2344677
539,140,0,2349329
540,140,0,2353893
541,140,0,2358454
542,140,0,2362895
543,140,0,2367485
544,140,0,2372455
545,140,0,2377336
546,140,0,2382093
547,140,0,2386856
548,140,0,2391341
549,140,0,2395993
550,140,0,2400359
551,140,0,2404879
552,140,0,2409574
553,140,0,2414156
554,140,0,2418689
555,140,0,2423540
556,140,0,2428004
557,140,0,2432504
558,140,0,2436884
559,140,0,2441387
