Generation,Max Distance,Min Distance,Total Distance
228,280,0,379312
229,280,0,380735
230,280,0,382051
231,280,0,383373
232,280,0,384979
233,280,0,386295
234,280,0,387809
235,280,0,389158
236,280,0,390794
237,280,0,392406
238,280,0,394411
239,280,0,396506
240,280,0,397848
241,280,0,399396
242,280,0,400966
243,280,0,402578
244,280,0,404207
245,280,0,406032
246,280,0,407938
247,280,0,409368
248,280,0,411102
249,280,0,413776
250,280,0,415985
251,280,0,417989
252,280,0,419343
253,280,0,421039
254,280,0,422996
255,280,0,424585
256,280,0,426733
257,280,0,428127
258,280,0,429361
259,280,0,431009
260,280,0,433473
261,280,0,434974
262,280,0,436841
263,280,0,438751
264,280,0,440735
265,280,0,442642
266,280,0,444332
267,280,0,445915
268,280,0,447480
269,280,0,449570
270,280,0,450810
271,280,0,452633
272,280,0,454829
273,280,0,456318
274,280,0,457922
275,280,0,459986
276,280,0,462531
277,280,0,463970
278,280,0,465666
279,280,0,467491
280,280,0,468832
281,280,0,470615
282,280,0,472074
283,280,0,473897
284,280,0,475294
285,280,0,476943
286,280,0,478708
287,280,0,480648
288,280,0,482165
289,280,0,483986
290,280,0,485776
291,280,0,487874
292,280,0,489836
293,280,0,491485
294,280,0,493594
295,280,0,495396
296,280,0,496968
297,280,0,499343
298,280,0,500777
299,280,0,503637
300,280,0,505081
301,280,0,506857
302,280,0,508047
303,280,0,509770
304,280,0,511014
305,280,0,512588
306,280,0,514323
307,280,0,516304
308,280,0,517638
309,280,0,519803
310,280,0,521923
311,280,0,524078
312,280,0,525851
313,280,0,528011
314,280,0,529708
315,280,0,531674
316,280,0,533405
317,280,0,534929
318,280,0,536688
319,280,0,538281
320,280,0,539848
321,280,0,541173
322,280,0,543506
323,280,0,545957
324,280,0,547475
325,280,0,548908
326,280,0,549898
327,280,0,551197
328,280,0,552565
329,280,0,553835
330,280,0,555585
331,280,0,557215
332,280,0,558697
333,280,0,559570
334,280,0,561082
335,280,0,562138
336,280,0,563648
337,280,0,564883
